level,hybrid,onsite,remote,hybrid_n,onsite_n,remote_n
Entry,116500.0,127500.0,137250.0,443,1985,1336
Exec,189796.0,185000.0,200000.0,72,212,162
Management,195000.0,180000.0,204250.0,1391,3111,3032
Mid,150000.0,151500.0,150000.0,874,3256,2879
Senior,183000.0,185000.0,189181.5,2990,8504,8999
Staff+,227175.0,221300.0,230000.0,1208,2460,3959
