spec,pct,lo,hi
raw (no controls),6.97,6.24,7.69
+ seniority,3.34,2.72,3.96
+ role family,0.54,-0.04,1.12
+ platform,0.83,0.25,1.41
+ state (full),1.96,1.39,2.53
