workModel,Entry,Exec,Management,Mid,Senior,Staff+
hybrid,6.35,1.03,19.93,12.53,42.85,17.31
onsite,10.16,1.09,15.93,16.67,43.55,12.6
remote,6.56,0.8,14.89,14.14,44.18,19.44
