seniority,n,onsite,hybrid,remote,pct_onsite,pct_hybrid,pct_remote,pct_any_remote
intern,3017,2274,264,479,75.37288697381504,8.750414318859795,15.876698707325158,24.62711302618495
entry,4746,2797,501,1448,58.933839022334595,10.556257901390644,30.509903076274757,41.066160977665405
mid,5767,2735,779,2253,47.42500433500954,13.507889717357378,39.06710594763309,52.57499566499047
senior,27016,12423,3713,10880,45.983861415457504,13.743707432632513,40.27243115190998,54.01613858454249
staff,6446,2432,963,3051,37.72882407694694,14.939497362705554,47.331678560347505,62.27117592305306
principal,3765,1864,419,1482,49.50863213811421,11.128818061088978,39.36254980079681,50.49136786188579
