product,jobs,blog,news,total_editorial_plus_jobs
ChatGPT,756,7384,3244,11384
Claude,1192,5371,2362,8925
Claude Code,1047,5315,1541,7903
Gemini,502,2891,1269,4662
Cursor,1231,1773,479,3483
GitHub Copilot,681,1579,345,2605
Copilot,339,1162,469,1970
Grok,73,578,296,947
Windsurf,140,365,97,602
