month,total,Orchestration frameworks,Interaction (strict),Interaction (broad),MCP,I_or_O union
2025-09,753,40,16,45,39,80
2025-10,1081,29,26,55,39,80
2025-11,1144,26,23,61,29,82
2025-12,1490,44,24,73,55,104
2026-01,2935,89,39,176,68,255
2026-02,2573,83,41,244,96,307
2026-03,19276,701,450,1159,340,1598
2026-04,34102,592,875,2645,835,3107
2026-05,42044,643,1589,3477,990,3976
