month,total,Orchestration frameworks,Interaction (strict),Interaction (broad),MCP,I_or_O union
2025-09,4637,177,49,242,197,399
2025-10,5390,208,118,425,278,600
2025-11,5972,289,108,429,295,674
2025-12,7863,371,173,633,385,944
2026-01,11942,511,249,1144,485,1567
2026-02,16378,856,451,2001,763,2707
2026-03,44510,1799,890,4178,1995,5599
2026-04,50180,2349,1591,5999,2446,7789
2026-05,52523,3173,1805,5632,2830,8174
