fam,b_month,p,b_stable,p_stable,aprmay,augsep,stable_aprmay,stable_augsep
Product Manager,0.1457,0.0,0.2013,0.0,3.2446,4.7049,2.6797,5.8453
AI Engineer,0.1281,0.0,0.1577,0.0,17.7344,20.8987,17.3785,23.2682
ML Engineer,0.0364,0.3953,0.1066,0.0456,8.1527,10.4651,7.0301,9.8291
Data Scientist,0.0961,0.0914,0.0618,0.434,4.1971,5.4196,3.5488,3.9384
Software Engineer,0.1736,0.0,0.1929,0.0,1.8691,3.1286,1.7908,3.4595
