fam,define_quality,error_analysis,datasets,write_evals,infrastructure,run_monitor,decide_ship,safety,hands_on,n
AI Engineer,81.8,43.9,27.7,51.5,72.7,65.1,35.6,29.7,85.3,917
Data Scientist,89.5,56.7,41.5,59.1,55.6,64.3,35.1,31.0,90.1,171
ML Engineer,85.8,38.9,43.6,59.7,69.0,68.0,35.3,28.4,88.8,303
Product Manager,80.9,34.4,22.6,35.5,37.2,44.9,45.2,19.1,81.9,425
Software Engineer,65.2,31.2,21.2,38.1,68.8,51.7,23.6,18.9,78.7,962
