fam,define_quality,error_analysis,datasets,write_evals,infrastructure,run_monitor,decide_ship,safety,hands_on,n
AI Engineer,43.4,25.3,23.0,54.3,69.5,68.7,17.7,29.5,87.8,940
Data Scientist,50.9,37.6,31.8,57.8,54.9,72.3,22.0,30.6,86.7,173
ML Engineer,46.9,23.2,35.7,61.1,65.0,74.6,14.1,28.0,92.9,311
Product Manager,59.6,19.6,19.9,46.1,43.6,46.3,20.8,21.0,79.0,438
Software Engineer,28.0,18.4,18.1,46.9,63.3,49.7,10.5,16.6,79.4,1026
