fam,profile_positions_2023_25,profile_eval,profile_pct,postings_sep2026_n,postings_sep2026_pct
Product Manager,2202,5,0.23,1208,5.38
AI Engineer,913,28,3.07,554,22.74
ML Engineer,2231,28,1.26,357,11.76
Data Scientist,4100,27,0.66,423,4.49
Software Engineer,18417,23,0.12,4901,3.12
