age,headcount,quits,quit_rate_pct,retirements
LESS THAN 20,9,0,0.0,0
20-24,3187,176,5.522434891747725,0
25-29,7974,383,4.8031101078505145,0
30-34,9792,368,3.758169934640523,0
35-39,13079,391,2.989525193057573,0
40-44,17543,347,1.9779969218491706,0
45-49,17992,257,1.4284126278345932,2
50-54,18598,200,1.0753844499408538,9
55-59,18936,153,0.8079847908745247,566
60-64,14900,64,0.42953020134228187,1470
65 OR MORE,7321,35,0.4780767654691982,1208
