role,newhire_n,newhire_p25,newhire_p50,newhire_p75,newhire_p90,incumbent_n,incumbent_p25,incumbent_p50,incumbent_p75,incumbent_p90
Data Scientist,358,91897.0,117962.0,148689.0,169429.0,669,121785.0,143605.0,167720.0,191850.0
Software Engineer / IT,4635,99200.0,128956.0,157982.0,181216.0,41870,121667.0,148711.0,172915.0,192331.0
Computer Science (1550),161,96000.0,128956.0,159916.38,185866.0,1202,131790.0,162072.0,190953.0,197200.0
IT Management (2210),4474,99200.0,128956.0,157982.0,181216.0,40668,121299.0,148407.0,172700.0,191850.0
