year,AI_Engineer,Data_Scientist,ML_Engineer,Data_Engineer
2012,75,2037,223,2387
2013,103,3133,325,3260
2014,161,5006,491,4310
2015,259,7279,892,5752
2016,497,9145,1657,6986
2017,795,11571,2705,9085
2018,1272,13997,3922,11792
2019,1419,14652,4527,13614
2020,1661,9773,4367,12622
2021,2671,11221,5139,22242
2022,3127,9299,4323,18850
2023,4486,2504,2407,8102
2024,8184,203,3074,5519
2025,11769,-107,2538,5642
