role,arrivals,departures,in_out_ratio
AI Engineer,60078,30451,1.973
ML Engineer,43305,35857,1.208
Data Engineer,121059,104082,1.163
Software Engineer,720976,680536,1.059
Data Scientist,80120,78458,1.021
