role_group,n_anti,n_all,evals_in_anti,evals_base,rpos_in_anti,rpos_base
AI Engineer,71,2593,40.8,36.4,42.3,43.3
ML Engineer,74,3935,52.7,24.1,60.8,43.4
Data Scientist,44,4424,29.5,11.9,52.3,32.3
Research/Applied Scientist,27,3271,37.0,24.5,74.1,73.2
Data Engineer,10,4083,10.0,2.1,30.0,6.4
Software Engineer,213,41892,40.8,3.9,72.3,8.1
