canonical_skill,gradient,salary_coef,scholarly_ratio,depth,gradient_z,salary_coef_z,scholarly_ratio_z,depth_z,composite_z
mxnet,1.0,,0.0,6,1.5921,0.0,-0.6338,5.0126,1.4927
diffusion models,0.9115,0.02579,0.5375,2,1.0124,0.1656,4.1423,0.6243,1.4861
generative modeling,0.9722,,0.4708,2,1.41,0.0,3.5496,0.6243,1.396
representation learning,1.0128,,0.5284,1,1.6759,0.0,4.0614,-0.4728,1.3161
vision-language models,0.6691,,0.7297,1,-0.5755,0.0,5.8501,-0.4728,1.2005
reward modeling,1.0818,,0.4174,1,2.128,0.0,3.0751,-0.4728,1.1826
imitation learning,0.98,,0.4879,1,1.4611,0.0,3.7015,-0.4728,1.1724
distillation,0.9286,,0.3518,2,1.1244,0.0,2.4922,0.6243,1.0602
sft,1.1143,,0.4573,0,2.3409,0.0,3.4296,-1.5698,1.0502
causal inference,0.8481,0.2015,0.1686,2,0.597,2.114,0.8643,0.6243,1.0499
scipy,0.8375,0.0339,0.009,5,0.5276,0.2555,-0.5538,3.9155,1.0362
xgboost,0.8272,0.00676,0.1481,4,0.4601,-0.0454,0.6822,2.8184,0.9788
dpo,1.0521,,0.3133,1,1.9334,0.0,2.1501,-0.4728,0.9027
large-scale training,1.0,,0.2209,2,1.5921,0.0,1.3291,0.6243,0.8864
distributed training,0.956,0.16449,0.0574,2,1.3039,1.7036,-0.1238,0.6243,0.877
reasoning,1.0135,0.09167,0.2182,1,1.6805,0.8961,1.3051,-0.4728,0.8522
fsdp,1.0,,0.0746,3,1.5921,0.0,0.0291,1.7214,0.8357
reinforcement learning,0.9271,0.1283,0.3387,0,1.1145,1.3023,2.3758,-1.5698,0.8057
jax,0.8977,0.1619,0.0546,2,0.922,1.6749,-0.1486,0.6243,0.7681
pre-training,0.8444,,0.2587,2,0.5728,0.0,1.6649,0.6243,0.7155
data curation,0.7788,0.16599,0.225,1,0.1431,1.7203,1.3655,-0.4728,0.689
profiling,0.9912,0.0778,0.0424,2,1.5345,0.7423,-0.257,0.6243,0.661
triton,0.8968,,0.0695,3,0.9161,0.0,-0.0162,1.7214,0.6553
transformer,0.8377,-0.0075,0.2518,2,0.5289,-0.2035,1.6036,0.6243,0.6383
evaluation frameworks,0.8949,0.16329,0.115,1,0.9036,1.6903,0.3881,-0.4728,0.6273
quantization,0.9211,,0.1508,2,1.0752,0.0,0.7062,0.6243,0.6014
foundation models,0.9225,0.00344,0.2704,1,1.0844,-0.0822,1.7689,-0.4728,0.5746
reasoning paths,,,0.3266,,0.0,0.0,2.2683,0.0,0.5671
deepspeed,0.8488,,0.0479,3,0.6016,0.0,-0.2082,1.7214,0.5287
fine-tuning,0.7759,0.07816,0.2391,1,0.1241,0.7463,1.4908,-0.4728,0.4721
genai,0.7745,0.24313,0.0242,1,0.1149,2.5757,-0.4188,-0.4728,0.4497
inference,0.8381,0.06355,0.2003,1,0.5315,0.5843,1.146,-0.4728,0.4473
post-training,0.9343,,0.3179,0,1.1617,0.0,2.191,-1.5698,0.4457
langgraph,0.8239,,0.0212,3,0.4385,0.0,-0.4454,1.7214,0.4286
transformer architectures,0.6842,,0.2363,2,-0.4766,0.0,1.4659,0.6243,0.4034
vector databases,0.7654,0.13292,0.0091,2,0.0553,1.3536,-0.5529,0.6243,0.3701
world models,,,0.232,,0.0,0.0,1.4277,0.0,0.3569
containerization,0.9766,0.00467,0.0014,2,1.4388,-0.0686,-0.6214,0.6243,0.3433
llamaindex,0.7922,,0.0049,3,0.2309,0.0,-0.5903,1.7214,0.3405
cuda,0.8488,0.04602,0.0325,2,0.6016,0.3899,-0.345,0.6243,0.3177
observability,0.8943,0.13138,0.0099,1,0.8997,1.3365,-0.5458,-0.4728,0.3044
numpy,0.6545,-0.02,0.0037,4,-0.6712,-0.3422,-0.6009,2.8184,0.301
evaluation,0.799,0.01973,0.2168,1,0.2754,0.0984,1.2926,-0.4728,0.2984
